name,comment,likes
@김남훈-d2l,I can not unbelievable to hear Oxford lesson for free!,3
@BlinkedMyCart,I feel so stressed watching this but also relieved and safe that I will never have this class,938
@Thomas-lf4nn,i m  proud that the teacher is Romanian . see guys we aren t all beggars,314
@ebin_c_babu,"Do you understand anything??
Me: His name is Dan",2K
@problemsolvingchannel,"3:33 ""So this book is quite concise and it has various examples from physics and engineering and science. It also has the added advantage that, unlike the other books on on the reading list, if you drop this one on your foot, you might be able to to walk without seeing an orthopedic surgeon.""

 Miss those university days!",6
@HawkeWG,"""a quick review""
""a gentle introduction""
Dan is wonderful.",555
@dasmysteryman12,"Everyone's wondering why this is in their recommendations, but can we talk about how cool that board is? I've already graduated from university but I've never seen a board like that ever.",1.3K
@jehvsonespiritu8137,"Dan: ""The lecture notes are online""
Me: ""ight Imma head out """,406
@WillnardAnderson,"I love his lectures and the way he breaks down the function of each part of the equations.  I wish I had in back in school.  

These were nice and easy warm up equations to get the class started and it was a nice refresher.",17
@volo455,"Feeling bad for the dude coughing his way thru this whole lecture, been there",2.2K
@petermernagh9991,"Just imagine how much knowledge, intelligence, skill and talent it takes to be able to lecture on this subject in your second language",13K
@shishirbudha9538,"So even Oxford students are silent when the teacher says ""Any questions?""
I thought only we dumbs are like that lol",5K
@disappearintothesea,"5 years and 10million viewers later, Dan is famous on the internet. I hope he knows that.",4
@enriquediaz6765,"This is literally an example of when people say ""I looked away for 3 seconds and now we're learning about quantum physics""


Or ""advanced calculas""",788
@mrbryan995,The best thing about this video is reading the comments.,569
@jefffrank_o7,"Things Learned from this vid ;
He's teaching at Oxford on calculus
His name is Dan 
The boards can move and keep comin 

Good job YouTube for recommending this to me for no reason at all",341
@cartoon-l8z7s,Very understandable sir,4
@cam2307,"Timestamps:

0:11 - Practical Info
4:15 - Syllabus
 - Course application
 - identifying simple ODEs
 - ODE kinetics example
 - ODE circuits example
 - ODE exercise
 - Integration by parts
 - Integration by parts example 1
 - Integration by parts example 2
 - Integration by parts example 3
 - recursive formulae
 - git gud, nerds
 - separable ODEs
 - separable ODE example
 - that's a wrap",1K
@smartpuff7389,"How is nobody in love with the way he writes?? So smooth, so fast, so straight, still legible",479
@ethanfossett,"30:14 ""Did you get the same thing?"" 

Me: ""If you mean an aneurysm, Dan, then yes.""",537
@VIVIAN-V-VIVIAN,Thank you my insomnia has been going better since I started watching this series. Keep it up  amazing work Dan!,0
@miloshanimalkingdom,"When the maths is so advanced there are no numbers, only letters",3K
@mappy_4556,My Google search history:  how to drop out of a course in youtube?,1.3K
@Shreyy009,"After reading comments-
Target audience 
Reached audience",2
@jiteshparate2588,All that I learn was that the boards can slide .,3.5K
@allyzam1643,this just called me stupid in 10 different languages,1.1K
@encikpanda3169,plot twist : there is no students in the lecture hall.,2.8K
@freshavocado727,"""for many of you this might be the easiest course here that you'll take in Oxford"" That explains why I'm not in Oxford",3
@nahidrul,"Me: trying to skip online class by scrolling YouTube.
YouTube:   .............",644
@goatkoala573,"“This may be the easiest course you will take here...”

Me: wait, so it was on easy mode?",1.9K
@suspiciosovincenten6849,"Questions I want answers to:
1. Why was this in my recommended. 
2. Why did I watch 5 minutes of it until I wondered why I was watching it.",1.5K
@SinghNegi-i4v5u,"24:54 we can use ILATE rule
I=Inverse
L=log
A=Algebra
T=trigo
E=e
Like here algebra (x^2) is before then trigo so differentiate it and integrate sinx
 and in questuons like this take cos^n-1(x) as f because differentiating it is easy due to product rule",14
